PRODUCT_ID,NAMEP,SIZE_ID,PRICE_ID,CATEGORY_ID
138,ChauMin especial mandaron,12,44,3
139,"ChauMin con pollo, res o cerdo",12,44,3
140,ChauMin con camaron,12,47,3
141,ChauMin con camaron y pollo,12,47,3
142,Tallarin de arroz Xingapu,12,48,3
143,Arroz frito especial mandarin,12,45,4
144,Arroz frito real mandarin,12,46,4
145,"Arroz camaron, cebollina y huevo",12,41,4
146,Arroz con camaron,12,41,4
147,Arroz marinero,12,43,4
148,Arroz con camaron y pollo,12,41,4
149,Arroz YanHon,12,41,4
150,Arroz yinyan,12,48,4
151,Arroz fujean,12,48,4
152,Arroz gaung,12,41,4
153,Arroz estilo Thailandia,12,41,4
154,Arroz cebollina y huevo,12,49,4
155,"Arroz con pollo, res o cerdo",12,50,4
156,Arroz con vegetal,12,49,4
158,Marisco con salsa mandarin,12,51,5
159,Marisco woobar,12,51,5
160,Marisco kunpao,12,51,5
161,Marisco copa caliente,12,51,5
162,Marisco mixto con vegetales,12,52,5
165,Caracol estilo mandarin,12,57,5
166,Caracol al ajillo,12,57,5
167,Caracol estilo sal y pimienta,12,57,5
168,Calamar estilo mandarin,12,53,5
174,Camaron especial mandarin,12,52,7
175,Camaron salsa kunpao,12,52,7
176,Camaron estilo woobar,12,51,7
177,Camaron empanizado,12,52,7
178,Camaron con salsa barbacoa,12,52,7
179,Pollo Kunpao,12,46,8
180,Pollo agridulce,12,43,8
181,Pollo salsa ostra,12,43,8
182,Pollo con champiñones y hongos,12,47,8
183,Pollo con salsa limo,12,59,8
184,Res salsa con vegetales,12,60,9
185,Res salsa pekin,12,48,9
186,Res salsa ostra,12,47,9
187,Res salsa stay,12,47,9
188,Res salsa cebollina,12,47,9
189,Cerdo asado,12,62,10
190,Cerdo con hongo y champiñones,12,60,10
191,Cerdo con vegetales,12,43,10
192,Cerdo salsa ostra,12,43,10
193,Cerdo agridulce,12,43,10
194,Vegetales mixtos con salsa mandarin,12,36,11
195,Vegetales con salsa ostra,12,36,11
196,Vegetales chinos con ajo,12,49,11
197,Vegetales chinos Lohan,12,60,11
198,Vegetales con hongos y champiñones,12,60,11
199,Tofu con carne de cerdo y salsa picante,12,60,12
200,Tofu con camaron y hongos,12,57,12
201,Tofu estilo casero,12,60,12
202,Tofu con hongos y bambu,12,65,12
203,Tofu con pescado,12,63,12
